file1 file2 simple eppstein hanke 
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_1 8 8 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_10 4 4 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 7 8 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_12 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_13 6 6 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_14 4 4 4
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_15 6 6 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_16 4 4 4
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_17 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_18 6 6 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_19 7 7 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_2 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_3 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_4 8 9 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_5 6 6 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_6 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_7 4 4 4
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_8 6 6 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_9 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_10 7 7 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 8 8 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_12 9 9 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_13 4 4 4
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_14 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_15 8 8 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_16 4 4 4
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_17 7 7 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_18 8 8 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_19 3 3 3
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_2 5 5 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_3 8 8 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_4 7 7 7
