file1 file2 simple eppstein hanke 
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_1 26 28 29
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_10 35 40 42
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_11 27 30 33
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_12 25 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_13 23 24 26
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_14 30 31 36
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_15 32 35 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_16 30 30 32
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_17 24 24 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_18 22 25 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_19 34 38 42
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_2 35 36 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_3 30 32 34
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_4 30 34 39
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_5 23 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_6 36 40 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_7 34 42 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_8 30 33 35
../data/random_experiments_paper/n_25/set_5/triangulation/t_0 ../data/random_experiments_paper/n_25/set_5/triangulation/t_9 33 36 41
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_10 35 40 42
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_11 27 30 33
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_12 25 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_13 23 24 26
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_14 30 31 36
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_15 32 35 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_16 30 30 32
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_17 24 24 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_18 22 25 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_19 34 38 42
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_2 35 36 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_3 30 32 34
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_4 30 34 39
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_5 23 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_6 36 40 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_7 34 42 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_8 30 33 35
../data/random_experiments_paper/n_25/set_5/triangulation/t_1 ../data/random_experiments_paper/n_25/set_5/triangulation/t_9 33 36 41
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_11 27 30 33
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_12 25 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_13 23 24 26
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_14 30 31 36
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_15 32 35 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_16 30 30 32
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_17 24 24 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_18 22 25 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_19 34 38 42
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_2 35 36 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_3 30 32 34
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_4 30 34 39
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_5 23 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_6 36 40 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_7 34 42 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_8 30 33 35
../data/random_experiments_paper/n_25/set_5/triangulation/t_10 ../data/random_experiments_paper/n_25/set_5/triangulation/t_9 33 36 41
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_12 25 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_13 23 24 26
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_14 30 31 36
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_15 32 35 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_16 30 30 32
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_17 24 24 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_18 22 25 25
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_19 34 38 42
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_2 35 36 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_3 30 32 34
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_4 30 34 39
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_5 23 26 27
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_6 36 40 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_7 34 42 44
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_8 30 33 35
../data/random_experiments_paper/n_25/set_5/triangulation/t_11 ../data/random_experiments_paper/n_25/set_5/triangulation/t_9 33 36 41
../data/random_experiments_paper/n_25/set_5/triangulation/t_12 ../data/random_experiments_paper/n_25/set_5/triangulation/t_13 23 24 26
../data/random_experiments_paper/n_25/set_5/triangulation/t_12 ../data/random_experiments_paper/n_25/set_5/triangulation/t_14 30 31 36
../data/random_experiments_paper/n_25/set_5/triangulation/t_12 ../data/random_experiments_paper/n_25/set_5/triangulation/t_15 32 35 38
../data/random_experiments_paper/n_25/set_5/triangulation/t_12 ../data/random_experiments_paper/n_25/set_5/triangulation/t_16 30 30 32
../data/random_experiments_paper/n_25/set_5/triangulation/t_12 ../data/random_experiments_paper/n_25/set_5/triangulation/t_17 24 24 25
