file1 file2 simple eppstein hanke 
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_11_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_12_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_1_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_2_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_3_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_4_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_5_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_6_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_7_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_8_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_9_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2001_10_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2001_11_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2001_12_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2001_1_2.csv 5 5 5
